run_id,scheduler,workload,repetition,seed,tenant,completed_tasks,service_seconds,service_share,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_max_s,wait_p99_s,wait_max_s,deadline_missed,deadline_miss_rate
example,wfq,bursty,0,1000,D,23,1.107000,0.147364,0.355706,0.357535,0.591805,0.613976,0.619439,0.565773,0.570378,4,0.173913
example,wfq,bursty,0,1000,E,29,1.491000,0.198482,0.357486,0.335669,0.666557,0.697073,0.706351,0.637944,0.647213,7,0.241379
example,wfq,heavy_tailed,0,1000,A,38,0.815000,0.235890,0.024966,0.017751,0.066617,0.079907,0.080749,0.010561,0.012421,0,0.000000
example,wfq,heavy_tailed,0,1000,B,30,0.804000,0.232706,0.029320,0.021025,0.066873,0.121108,0.141534,0.003773,0.003782,0,0.000000
example,wfq,heavy_tailed,0,1000,C,30,0.685000,0.198263,0.025361,0.017139,0.064069,0.075423,0.077586,0.007433,0.008715,0,0.000000
example,wfq,heavy_tailed,0,1000,D,23,0.571000,0.165268,0.027667,0.019738,0.054276,0.092941,0.103682,0.004998,0.005148,0,0.000000
example,wfq,heavy_tailed,0,1000,E,29,0.580000,0.167873,0.022633,0.018127,0.046271,0.071239,0.080197,0.004397,0.004419,0,0.000000
example,wfq,multi_tenant,0,1000,A,135,6.749000,0.898429,0.188198,0.200930,0.277760,0.291290,0.297576,0.240172,0.244667,0,0.000000
example,wfq,multi_tenant,0,1000,B,3,0.166000,0.022098,0.063655,0.060047,0.070501,0.071431,0.071663,0.011628,0.011644,0,0.000000
example,wfq,multi_tenant,0,1000,C,4,0.213000,0.028355,0.065992,0.065147,0.072463,0.073101,0.073261,0.017224,0.017318,0,0.000000
example,wfq,multi_tenant,0,1000,D,4,0.193000,0.025692,0.058057,0.054487,0.074497,0.076931,0.077539,0.023905,0.024470,0,0.000000
example,wfq,multi_tenant,0,1000,E,4,0.191000,0.025426,0.060301,0.060612,0.067702,0.068580,0.068800,0.018471,0.018658,0,0.000000
