run_id,scheduler,workload,repetition,seed,task_id,tenant_id,priority,outcome,submitted_at,dispatched_at,started_at,finished_at,deadline,exec_ms,actual_exec_ms,retry_count,queue_wait_s,latency_s,deadline_missed,worker
example,fifo,multi_tenant,0,1000,quick-000029,A,3,completed,2026-09-08T09:26:38.602711Z,2026-09-08T09:26:38.648Z,2026-09-08T09:26:38.648824Z,2026-09-08T09:26:38.699898Z,2026-09-08T09:26:39.254711Z,51,51,0,0.046113,0.097187,false,bench-worker-0-2
example,fifo,multi_tenant,0,1000,quick-000030,A,2,completed,2026-09-08T09:26:38.607799Z,2026-09-08T09:26:38.651Z,2026-09-08T09:26:38.65166Z,2026-09-08T09:26:38.703718Z,2026-09-08T09:26:39.146799Z,52,52,0,0.043861,0.095919,false,bench-worker-1-2
example,fifo,multi_tenant,0,1000,quick-000032,A,1,completed,2026-09-08T09:26:38.612578Z,2026-09-08T09:26:38.664Z,2026-09-08T09:26:38.664313Z,2026-09-08T09:26:38.710342Z,2026-09-08T09:26:39.171578Z,46,46,0,0.051735,0.097764,false,bench-worker-0-3
example,fifo,multi_tenant,0,1000,quick-000034,A,1,completed,2026-09-08T09:26:38.622914Z,2026-09-08T09:26:38.681Z,2026-09-08T09:26:38.682099Z,2026-09-08T09:26:38.725296Z,2026-09-08T09:26:39.231914Z,43,43,0,0.059185,0.102382,false,bench-worker-0-1
example,fifo,multi_tenant,0,1000,quick-000033,A,0,completed,2026-09-08T09:26:38.621904Z,2026-09-08T09:26:38.681Z,2026-09-08T09:26:38.682095Z,2026-09-08T09:26:38.730177Z,2026-09-08T09:26:39.089904Z,48,48,0,0.060191,0.108273,false,bench-worker-1-3
example,fifo,multi_tenant,0,1000,quick-000036,A,0,completed,2026-09-08T09:26:38.622916Z,2026-09-08T09:26:38.689Z,2026-09-08T09:26:38.689394Z,2026-09-08T09:26:38.737457Z,2026-09-08T09:26:39.149916Z,48,48,0,0.066478,0.114541,false,bench-worker-0-0
example,fifo,multi_tenant,0,1000,quick-000035,A,1,completed,2026-09-08T09:26:38.622915Z,2026-09-08T09:26:38.686Z,2026-09-08T09:26:38.686936Z,2026-09-08T09:26:38.744988Z,2026-09-08T09:26:39.264915Z,58,58,0,0.064021,0.122073,false,bench-worker-1-0
example,fifo,multi_tenant,0,1000,quick-000039,A,2,completed,2026-09-08T09:26:38.63491Z,2026-09-08T09:26:38.704Z,2026-09-08T09:26:38.705258Z,2026-09-08T09:26:38.746355Z,2026-09-08T09:26:39.06291Z,41,41,0,0.070348,0.111445,false,bench-worker-1-2
example,fifo,multi_tenant,0,1000,quick-000037,A,4,completed,2026-09-08T09:26:38.632853Z,2026-09-08T09:26:38.699Z,2026-09-08T09:26:38.699595Z,2026-09-08T09:26:38.747646Z,2026-09-08T09:26:39.158853Z,48,48,0,0.066742,0.114793,false,bench-worker-1-1
example,fifo,multi_tenant,0,1000,quick-000040,A,0,completed,2026-09-08T09:26:38.640311Z,2026-09-08T09:26:38.712Z,2026-09-08T09:26:38.713307Z,2026-09-08T09:26:38.756392Z,2026-09-08T09:26:39.154311Z,43,43,0,0.072996,0.116081,false,bench-worker-0-3
